index,seed,family,n,m,delta,Delta,high_degree,gamma,furones_size,furones_valid,ratio,tau,rho_n,within_rho,optimal
0,12345,complete,12,66,11,11,True,1,1,True,1.0,1.0,4.0,True,True
1,12346,cocktail_party,12,60,10,10,True,2,2,True,1.0,1.8333,4.0,True,True
2,12347,circulant,13,26,4,4,True,3,3,True,1.0,1.1538,4.0,True,True
3,12348,random_regular,8,12,3,3,True,3,3,True,1.0,1.5,4.0,True,True
4,12349,erdos_renyi,8,14,2,6,True,2,2,True,1.0,1.75,4.0,True,True
5,12350,hypercube,8,14,3,5,True,2,2,True,1.0,1.5,4.0,True,True
6,12351,paley,13,39,6,6,True,3,3,True,1.0,1.6154,4.0,True,True
7,12352,complete,11,55,10,10,True,1,1,True,1.0,1.0,4.0,True,True
8,12353,cocktail_party,10,40,8,8,True,2,2,True,1.0,1.8,4.0,True,True
9,12354,circulant,10,40,8,8,True,2,2,True,1.0,1.8,4.0,True,True
10,12355,random_regular,13,26,4,4,True,3,3,True,1.0,1.1538,4.0,True,True
11,12356,erdos_renyi,11,30,4,9,True,2,2,True,1.0,1.8182,4.0,True,True
12,12357,hypercube,8,12,3,3,True,2,2,True,1.0,1.0,4.0,True,True
13,12358,paley,13,39,6,6,True,3,3,True,1.0,1.6154,4.0,True,True
14,12359,complete,10,45,9,9,True,1,1,True,1.0,1.0,4.0,True,True
15,12360,cocktail_party,8,24,6,6,True,2,2,True,1.0,1.75,4.0,True,True
16,12361,circulant,13,52,8,8,True,2,2,True,1.0,1.3846,4.0,True,True
17,12362,random_regular,13,39,6,6,True,2,2,True,1.0,1.0769,4.0,True,True
18,12363,erdos_renyi,14,41,3,9,True,2,2,True,1.0,1.4286,4.0,True,True
19,12364,hypercube,8,12,3,3,True,2,2,True,1.0,1.0,4.0,True,True
20,12365,paley,13,39,6,6,True,3,3,True,1.0,1.6154,4.0,True,True
21,12366,complete,10,45,9,9,True,1,1,True,1.0,1.0,4.0,True,True
22,12367,cocktail_party,6,12,4,4,True,2,2,True,1.0,1.6667,4.0,True,True
23,12368,circulant,16,64,8,8,True,2,2,True,1.0,1.125,4.0,True,True
24,12369,random_regular,13,26,4,4,True,3,3,True,1.0,1.1538,4.0,True,True
25,12370,erdos_renyi,12,34,3,7,True,2,2,True,1.0,1.3333,4.0,True,True
26,12371,hypercube,16,35,4,6,True,4,4,True,1.0,1.75,4.0,True,True
27,12372,paley,13,39,6,6,True,3,3,True,1.0,1.6154,4.0,True,True
28,12373,complete,9,36,8,8,True,1,1,True,1.0,1.0,4.0,True,True
29,12374,cocktail_party,16,112,14,14,True,2,2,True,1.0,1.875,4.0,True,True
30,12375,circulant,11,44,8,8,True,2,2,True,1.0,1.6364,4.0,True,True
31,12376,random_regular,10,20,4,4,True,3,3,True,1.0,1.5,4.0,True,True
32,12377,erdos_renyi,9,25,4,7,True,2,2,True,1.0,1.7778,4.0,True,True
33,12378,hypercube,8,14,3,5,True,2,2,True,1.0,1.5,4.0,True,True
34,12379,paley,5,6,2,3,True,2,2,True,1.0,1.6,4.0,True,True
35,12380,complete,11,55,10,10,True,1,1,True,1.0,1.0,4.0,True,True
36,12381,cocktail_party,14,84,12,12,True,2,2,True,1.0,1.8571,4.0,True,True
37,12382,circulant,15,45,6,6,True,3,3,True,1.0,1.4,4.0,True,True
38,12383,random_regular,14,42,6,6,True,3,3,True,1.0,1.5,4.0,True,True
39,12384,erdos_renyi,8,26,5,7,True,1,1,True,1.0,1.0,4.0,True,True
40,12385,hypercube,16,32,4,4,True,4,4,True,1.0,1.25,4.0,True,True
41,12386,paley,5,6,2,3,True,2,2,True,1.0,1.6,4.0,True,True
42,12387,complete,15,105,14,14,True,1,1,True,1.0,1.0,4.0,True,True
43,12388,cocktail_party,14,84,12,12,True,2,2,True,1.0,1.8571,4.0,True,True
44,12389,circulant,11,55,10,10,True,1,1,True,1.0,1.0,4.0,True,True
45,12390,random_regular,8,16,4,4,True,2,2,True,1.0,1.25,4.0,True,True
46,12391,erdos_renyi,13,45,4,10,True,2,2,True,1.0,1.6923,4.0,True,True
47,12392,hypercube,8,15,3,5,True,2,2,True,1.0,1.5,4.0,True,True
48,12393,paley,13,39,6,6,True,3,3,True,1.0,1.6154,4.0,True,True
49,12394,complete,10,45,9,9,True,1,1,True,1.0,1.0,4.0,True,True
50,12395,cocktail_party,14,84,12,12,True,2,2,True,1.0,1.8571,4.0,True,True
51,12396,circulant,13,52,8,8,True,2,2,True,1.0,1.3846,4.0,True,True
52,12397,random_regular,13,26,4,4,True,3,3,True,1.0,1.1538,4.0,True,True
53,12398,erdos_renyi,9,28,5,8,True,1,1,True,1.0,1.0,4.0,True,True
54,12399,hypercube,16,32,4,4,True,4,4,True,1.0,1.25,4.0,True,True
55,12400,paley,13,39,6,6,True,3,3,True,1.0,1.6154,4.0,True,True
56,12401,complete,10,45,9,9,True,1,1,True,1.0,1.0,4.0,True,True
57,12402,cocktail_party,6,12,4,4,True,2,2,True,1.0,1.6667,4.0,True,True
58,12403,circulant,10,45,9,9,True,1,1,True,1.0,1.0,4.0,True,True
59,12404,random_regular,11,22,4,4,True,3,3,True,1.0,1.3636,4.0,True,True
60,12405,erdos_renyi,8,21,4,7,True,1,1,True,1.0,1.0,4.0,True,True
61,12406,hypercube,8,12,3,3,True,2,2,True,1.0,1.0,4.0,True,True
62,12407,paley,5,5,2,2,True,2,2,True,1.0,1.2,4.0,True,True
63,12408,complete,7,21,6,6,True,1,1,True,1.0,1.0,4.0,True,True
64,12409,cocktail_party,10,40,8,8,True,2,2,True,1.0,1.8,4.0,True,True
65,12410,circulant,10,30,6,6,True,2,2,True,1.0,1.4,4.0,True,True
66,12411,random_regular,14,49,7,7,True,2,2,True,1.0,1.1429,4.0,True,True
67,12412,erdos_renyi,11,39,5,10,True,1,1,True,1.0,1.0,4.0,True,True
68,12413,hypercube,8,13,3,4,True,2,2,True,1.0,1.25,4.0,True,True
69,12414,paley,5,6,2,3,True,2,2,True,1.0,1.6,4.0,True,True
70,12415,complete,10,45,9,9,True,1,1,True,1.0,1.0,4.0,True,True
71,12416,cocktail_party,6,12,4,4,True,2,2,True,1.0,1.6667,4.0,True,True
72,12417,circulant,11,44,8,8,True,2,2,True,1.0,1.6364,4.0,True,True
73,12418,random_regular,12,24,4,4,True,3,3,True,1.0,1.25,4.0,True,True
74,12419,erdos_renyi,13,60,7,11,True,2,2,True,1.0,1.8462,4.0,True,True
75,12420,hypercube,8,12,3,3,True,2,2,True,1.0,1.0,4.0,True,True
76,12421,paley,5,5,2,2,True,2,2,True,1.0,1.2,4.0,True,True
77,12422,complete,14,91,13,13,True,1,1,True,1.0,1.0,4.0,True,True
78,12423,cocktail_party,8,24,6,6,True,2,2,True,1.0,1.75,4.0,True,True
79,12424,circulant,10,40,8,8,True,2,2,True,1.0,1.8,4.0,True,True
80,12425,random_regular,11,22,4,4,True,3,3,True,1.0,1.3636,4.0,True,True
81,12426,erdos_renyi,14,51,5,10,True,2,2,True,1.0,1.5714,4.0,True,True
82,12427,hypercube,8,14,3,4,True,2,2,True,1.0,1.25,4.0,True,True
83,12428,paley,5,5,2,2,True,2,2,True,1.0,1.2,4.0,True,True
84,12429,complete,16,120,15,15,True,1,1,True,1.0,1.0,4.0,True,True
85,12430,cocktail_party,8,24,6,6,True,2,2,True,1.0,1.75,4.0,True,True
86,12431,circulant,9,36,8,8,True,1,1,True,1.0,1.0,4.0,True,True
87,12432,random_regular,11,22,4,4,True,3,3,True,1.0,1.3636,4.0,True,True
88,12433,erdos_renyi,10,18,2,6,True,2,2,True,1.0,1.4,4.0,True,True
89,12434,hypercube,16,33,4,5,True,4,4,True,1.0,1.5,4.0,True,True
90,12435,paley,5,6,2,3,True,2,2,True,1.0,1.6,4.0,True,True
91,12436,complete,15,105,14,14,True,1,1,True,1.0,1.0,4.0,True,True
92,12437,cocktail_party,12,60,10,10,True,2,2,True,1.0,1.8333,4.0,True,True
93,12438,circulant,10,20,4,4,True,2,2,True,1.0,1.0,4.0,True,True
94,12439,random_regular,16,32,4,4,True,4,4,True,1.0,1.25,4.0,True,True
95,12440,erdos_renyi,9,23,2,8,True,1,1,True,1.0,1.0,4.0,True,True
96,12441,hypercube,8,14,3,5,True,2,2,True,1.0,1.5,4.0,True,True
97,12442,paley,5,5,2,2,True,2,2,True,1.0,1.2,4.0,True,True
98,12443,complete,12,66,11,11,True,1,1,True,1.0,1.0,4.0,True,True
99,12444,cocktail_party,10,40,8,8,True,2,2,True,1.0,1.8,4.0,True,True
100,12445,circulant,11,44,8,8,True,2,2,True,1.0,1.6364,4.0,True,True
101,12446,random_regular,15,45,6,6,True,3,3,True,1.0,1.4,4.0,True,True
102,12447,erdos_renyi,13,46,5,10,True,2,2,True,1.0,1.6923,4.0,True,True
103,12448,hypercube,16,32,4,4,True,4,4,True,1.0,1.25,4.0,True,True
104,12449,paley,13,41,6,7,True,3,3,True,1.0,1.8462,4.0,True,True
105,12450,complete,9,36,8,8,True,1,1,True,1.0,1.0,4.0,True,True
106,12451,cocktail_party,16,112,14,14,True,2,2,True,1.0,1.875,4.0,True,True
107,12452,circulant,14,56,8,8,True,2,2,True,1.0,1.2857,4.0,True,True
108,12453,random_regular,12,36,6,6,True,2,2,True,1.0,1.1667,4.0,True,True
109,12454,erdos_renyi,8,20,4,7,True,1,1,True,1.0,1.0,4.0,True,True
110,12455,hypercube,16,33,4,5,True,4,4,True,1.0,1.5,4.0,True,True
111,12456,paley,13,39,6,6,True,3,3,True,1.0,1.6154,4.0,True,True
112,12457,complete,7,21,6,6,True,1,1,True,1.0,1.0,4.0,True,True
113,12458,cocktail_party,6,12,4,4,True,2,2,True,1.0,1.6667,4.0,True,True
114,12459,circulant,13,78,12,12,True,1,1,True,1.0,1.0,4.0,True,True
115,12460,random_regular,14,49,7,7,True,2,2,True,1.0,1.1429,4.0,True,True
116,12461,erdos_renyi,16,66,6,11,True,2,2,True,1.0,1.5,4.0,True,True
117,12462,hypercube,8,13,3,4,True,2,2,True,1.0,1.25,4.0,True,True
118,12463,paley,13,40,6,7,True,3,3,True,1.0,1.8462,4.0,True,True
119,12464,complete,7,21,6,6,True,1,1,True,1.0,1.0,4.0,True,True
120,12465,cocktail_party,12,60,10,10,True,2,2,True,1.0,1.8333,4.0,True,True
121,12466,circulant,12,36,6,6,True,2,2,True,1.0,1.1667,4.0,True,True
122,12467,random_regular,12,30,5,5,True,2,2,True,1.0,1.0,4.0,True,True
123,12468,erdos_renyi,11,39,3,10,True,1,1,True,1.0,1.0,4.0,True,True
124,12469,hypercube,16,32,4,4,True,4,4,True,1.0,1.25,4.0,True,True
125,12470,paley,13,40,6,7,True,3,3,True,1.0,1.8462,4.0,True,True
126,12471,complete,6,15,5,5,True,1,1,True,1.0,1.0,4.0,True,True
127,12472,cocktail_party,16,112,14,14,True,2,2,True,1.0,1.875,4.0,True,True
128,12473,circulant,9,27,6,6,True,2,2,True,1.0,1.5556,4.0,True,True
129,12474,random_regular,15,30,4,4,True,4,4,True,1.0,1.3333,4.0,True,True
130,12475,erdos_renyi,14,63,7,11,True,2,2,True,1.0,1.7143,4.0,True,True
131,12476,hypercube,8,14,3,4,True,2,2,True,1.0,1.25,4.0,True,True
132,12477,paley,5,6,2,3,True,2,2,True,1.0,1.6,4.0,True,True
133,12478,complete,6,15,5,5,True,1,1,True,1.0,1.0,4.0,True,True
134,12479,cocktail_party,12,60,10,10,True,2,2,True,1.0,1.8333,4.0,True,True
135,12480,circulant,15,60,8,8,True,2,2,True,1.0,1.2,4.0,True,True
136,12481,random_regular,14,42,6,6,True,3,3,True,1.0,1.5,4.0,True,True
